WorkerInitializingConnectionsToOtherWorkersMS;WorkerWaitingTimeWhileSaturationMS;ApplyingRulesTimeWhileSaturationMS;ToDoIsEmptyEvent;NumberOfProcessedAxioms;NumberOfDerivedInferences;NumberOfSentAxioms;NumberOfReceivedAxioms
24;1;59;1;25000;25000;25000;37500
17;34;29;4;25000;25000;25000;37500
15;35;30;3;25000;25000;25000;37500
14;22;34;13;25000;25000;25000;37500
